id,cluster,label
1704875583,0,0
6674572658,0,0
9993623468,5,0
10607320546,1,1
11239534806,5,0
14953875748,7,1
16277393756,5,0
19987809609,6,1
21164370115,3,0
22788077558,3,0
29372392582,0,0
30130295457,6,1
31187055574,5,0
31681490440,2,1
31942215998,6,1
36018865580,9,0
39517918854,1,1
42921722244,7,1
45254376151,0,0
46801823032,7,1
47000903308,5,0
48927645575,1,1
52261410280,7,1
54458310448,7,1
55364907425,6,1
57951029288,1,1
59063557811,6,1
63731311654,4,1
66912773345,2,1
70468969762,0,0
74780699711,1,1
75248356572,7,1
77770024112,5,0
78370785431,2,1
78746256867,4,1
82111636043,2,1
82546700349,9,0
82748713708,2,1
83170364647,1,1
83653631972,6,1
85744937287,6,1
87845969811,6,1
91723788182,2,1
91900094744,7,1
95811811353,6,1
97149691915,5,0
97179492640,6,1
97609846811,7,1
100542420872,1,1
101600564162,1,1
101738209253,5,0
102535568783,0,0
103285643131,7,1
104075647879,3,0
106047725481,5,0
110795159055,7,1
113055822962,7,1
114101258104,7,1
116071129180,0,0
117528142191,4,1
119371042139,1,1
119798639658,6,1
121193698086,6,1
122036365448,0,0
124670810391,2,1
131505931144,7,1
132158257663,5,0
132170026726,2,1
136985465680,0,0
139703386329,1,1
143987990888,1,1
144766234091,5,0
149311246421,0,0
150629884370,1,1
151813025565,6,1
152750931257,2,1
154047266662,1,1
161904472264,7,1
170517573134,5,0
170877224237,4,1
172772856068,2,1
173324578397,1,1
175475184338,1,1
177594029577,6,1
178558518232,1,1
180458287234,5,0
181519626651,6,1
181534936703,9,0
185776285910,2,1
192259607253,1,1
192632810845,1,1
198273847272,7,1
199087875388,7,1
204732711941,2,1
206736356689,0,0
206803924442,1,1
206916721916,7,1
207366513418,1,1
210476483019,0,0
210536163882,5,0
213839656729,4,1
214232158072,6,1
215897992736,2,1
218855685418,1,1
225779963149,6,1
226823422818,2,1
228717553522,6,1
228804090907,6,1
229132370072,0,0
233546818593,4,1
234983477656,5,0
237551162989,0,0
237903600571,1,1
239838262265,0,0
243204890474,5,0
245599652122,0,0
245844131190,5,0
247270405515,5,0
251564398795,2,1
252435761951,5,0
257759555173,1,1
258193317291,5,0
261327986536,7,1
264209265655,1,1
265878946516,4,1
267204000760,2,1
268092752432,7,1
268424487419,7,1
269909755081,2,1
270398488961,4,1
270608097869,6,1
273380085085,5,0
273392248645,7,1
276947808397,3,0
277140144361,7,1
279909383494,0,0
281544600039,1,1
282084662316,3,0
283149930567,2,1
293928641167,1,1
296204507771,6,1
298144869436,1,1
300138891975,0,0
301496713818,1,1
305539327970,0,0
306538840704,1,1
310552464401,6,1
312793831358,4,1
314712006945,9,0
317178441494,5,0
318189040241,7,1
318315634437,7,1
318504977874,1,1
323483566337,2,1
325677659580,4,1
326483884442,3,0
328777673639,1,1
330748533778,0,0
332054031196,2,1
335501279223,2,1
336770480084,2,1
339230169972,1,1
341383495960,5,0
345729437956,0,0
348813764730,6,1
355681005154,2,1
356658965808,6,1
357364882741,7,1
358104386259,1,1
364130371528,5,0
370551363246,7,1
374414805337,5,0
374981009514,2,1
376615522224,6,1
380122412541,2,1
382987677293,1,1
387341643327,3,0
387497691601,2,1
387623659346,6,1
389049510861,0,0
389415431552,2,1
390364612633,6,1
392040358493,4,1
392135992002,1,1
395209611171,5,0
401825622584,6,1
402732521602,0,0
403823963742,0,0
406748544686,2,1
